test,Z1,Z2,stars,n_words,useful,useful_discrete,n_fans,n_reviews
1,0,0,4,104,1,1,0,47
1,0,0,4,151,0,0,0,34
0,1,1,4,90,0,0,7,127
0,1,1,4,12,0,0,4,103
1,0,0,3,110,0,0,0,15
1,0,0,5,32,1,1,54,735
1,0,0,3,38,0,0,1,17
0,1,1,1,145,0,0,0,5
1,0,0,4,189,13,3,75,226
1,0,0,1,74,0,0,0,5
1,0,0,5,45,0,0,0,66
0,1,1,5,27,0,0,2,56
1,0,0,5,70,0,0,5,126
0,0,0,5,109,0,0,0,14
1,0,0,5,46,3,1,2,44
1,1,1,4,156,2,1,72,1383
1,1,0,5,352,4,1,13,105
1,1,1,5,199,2,1,108,392
1,0,0,5,75,4,1,74,510
1,0,0,4,104,1,1,0,10
1,1,1,3,102,0,0,2,57
0,0,0,1,246,1,1,0,17
1,1,0,4,353,31,3,75,1058
0,1,1,5,29,0,0,1,15
1,1,1,3,136,1,1,15,557
1,0,0,5,79,0,0,3,30
1,1,1,5,121,0,0,0,13
0,0,0,1,186,0,0,0,56
0,1,1,2,86,0,0,0,8
0,1,1,5,104,1,1,285,12772
1,0,0,5,170,0,0,0,47
1,1,0,5,749,18,3,40,393
1,0,0,4,96,0,0,2,28
1,0,0,5,94,1,1,8,125
1,1,1,2,157,2,1,8,203
1,1,1,2,104,1,1,2,59
1,0,0,3,90,0,0,7,263
1,0,0,1,106,0,0,1,141
1,0,0,4,123,5,1,26,232
1,1,1,5,39,0,0,0,3
1,0,0,5,156,0,0,0,67
1,1,1,1,115,1,1,0,7
0,1,1,5,100,1,1,1,82
1,0,0,1,74,0,0,0,39
0,1,1,2,54,0,0,0,39
1,0,0,5,42,0,0,0,18
0,1,0,4,450,0,0,0,36
1,0,0,5,36,0,0,0,31
1,0,0,1,77,3,1,0,10
0,1,1,1,132,0,0,0,5
1,0,0,5,45,0,0,1,24
1,0,0,3,56,1,1,3,59
0,1,1,4,60,0,0,0,32
1,0,0,5,52,0,0,0,41
1,1,0,5,279,4,1,18,163
1,0,0,1,109,1,1,0,15
1,0,0,5,73,2,1,44,442
1,0,0,2,99,0,0,0,24
0,1,1,4,29,0,0,0,27
1,0,0,5,73,0,0,0,19
0,1,1,4,45,0,0,0,52
1,0,0,5,104,0,0,2,229
1,1,1,4,122,0,0,0,10
0,1,1,1,98,1,1,0,50
1,1,1,4,219,3,1,5,39
1,0,0,5,22,0,0,0,23
1,1,1,3,278,0,0,4,50
0,1,1,1,145,0,0,0,2
0,1,1,5,89,0,0,5,129
0,1,1,2,97,2,1,14,443
1,0,0,4,213,0,0,0,28
0,1,0,4,328,2,1,1,19
1,1,1,5,203,0,0,2,58
1,0,0,5,165,1,1,14,484
1,0,0,5,167,6,2,47,628
1,0,0,2,133,0,0,8,478
1,0,0,3,318,1,1,10,300
0,1,1,5,45,0,0,0,10
1,1,0,4,380,0,0,1,71
1,1,1,4,315,14,3,86,577
0,1,1,4,51,0,0,0,9
0,0,0,4,285,11,3,393,1337
0,1,1,4,77,0,0,7,71
1,1,1,5,117,0,0,1,45
1,0,0,2,61,0,0,0,61
1,1,0,5,384,1,1,10,280
1,1,1,5,63,0,0,0,11
1,0,0,2,165,0,0,0,29
1,0,0,3,34,0,0,0,81
1,0,0,4,116,1,1,4,130
0,1,1,1,33,0,0,5,157
0,1,1,4,78,0,0,35,293
1,0,0,3,19,1,1,0,68
1,0,0,5,73,0,0,0,34
1,0,0,2,151,1,1,275,2638
1,1,1,5,220,0,0,3,94
0,0,0,3,148,2,1,5,59
1,0,0,5,64,2,1,13,92
0,1,1,5,114,0,0,0,45
1,0,0,5,129,0,0,4,29
1,0,0,4,124,0,0,0,35
1,0,0,5,33,0,0,1,50
1,0,0,1,5,0,0,0,1
1,0,0,5,171,0,0,0,87
1,0,0,5,54,0,0,0,42
1,0,0,5,28,0,0,0,73
0,1,1,1,41,0,0,4,343
0,0,0,5,213,1,1,19,228
1,1,0,5,340,5,1,11,209
1,0,0,4,150,0,0,41,701
1,0,0,2,89,3,1,80,1421
1,0,0,2,196,0,0,35,351
1,0,0,4,19,0,0,1,33
1,1,1,4,139,0,0,37,1302
1,0,0,4,90,0,0,2,79
0,1,1,5,55,0,0,7,80
0,0,0,4,185,1,1,30,176
0,1,1,1,52,1,1,0,4
0,1,1,4,54,0,0,2,42
1,0,0,3,241,0,0,0,19
1,0,0,1,192,0,0,1,41
1,0,0,5,59,0,0,0,12
1,0,0,5,42,0,0,2,17
1,0,0,3,25,0,0,6,47
0,1,1,5,74,0,0,5,26
1,0,0,5,100,1,1,0,44
1,1,0,1,499,10,2,3,76
1,1,1,5,74,0,0,2,209
1,0,0,5,66,0,0,0,29
1,0,0,3,156,0,0,5,107
0,0,0,3,169,0,0,1,510
1,0,0,5,37,0,0,2,145
0,1,1,1,99,0,0,0,4
1,0,0,4,16,0,0,0,6
1,0,0,5,85,0,0,0,17
1,0,0,4,28,0,0,0,7
1,0,0,4,93,1,1,1,40
0,1,0,3,358,3,1,39,270
1,0,0,4,231,0,0,19,186
0,1,1,1,145,0,0,0,6
1,0,0,5,202,2,1,1,53
1,1,1,1,81,0,0,0,4
0,1,1,5,25,1,1,0,39
1,1,0,5,322,9,2,67,717
0,1,1,5,18,0,0,9,288
1,0,0,4,224,0,0,0,50
1,0,0,5,78,0,0,8,32
0,1,1,3,112,2,1,8,68
1,0,0,4,63,0,0,1,95
1,0,0,5,105,0,0,1,94
1,0,0,4,103,0,0,0,17
1,0,0,4,56,0,0,2,44
1,0,0,3,27,2,1,3,90
1,0,0,4,60,0,0,0,13
1,1,0,3,268,0,0,44,386
1,0,0,5,26,0,0,2,56
1,0,0,2,35,0,0,0,21
1,1,0,4,306,3,1,58,831
1,0,0,4,85,0,0,5,101
1,0,0,5,109,1,1,17,215
0,1,1,4,60,8,2,22,200
1,0,0,4,89,0,0,15,212
0,0,0,5,230,0,0,0,32
0,1,1,4,99,2,1,4,17
1,0,0,5,49,0,0,1,40
0,1,1,5,150,0,0,0,60
1,1,1,2,50,0,0,0,7
1,1,0,3,632,5,1,20,93
1,1,1,5,81,1,1,0,18
0,1,1,5,75,0,0,2,41
1,0,0,2,116,3,1,22,233
0,1,1,2,92,0,0,1,93
1,0,0,2,275,1,1,11,182
0,1,1,3,178,0,0,9,236
0,1,0,3,366,3,1,14,357
1,0,0,2,150,0,0,1,3
0,1,0,5,296,6,2,46,702
0,1,1,5,31,0,0,0,179
1,0,0,5,15,0,0,8,96
1,0,0,5,25,0,0,1,20
0,0,0,5,118,1,1,0,12
0,1,1,2,16,0,0,1,96
1,1,1,5,88,1,1,2,24
1,0,0,4,84,0,0,8,84
1,0,0,5,137,0,0,0,30
1,1,1,1,249,0,0,0,5
0,1,0,5,298,0,0,0,35
1,0,0,5,131,1,1,18,117
0,1,1,1,45,1,1,0,2
1,1,1,5,89,1,1,26,725
0,0,0,5,138,1,1,1,37
1,0,0,5,146,1,1,8,70
1,0,0,4,167,2,1,1,31
0,0,0,4,139,0,0,3,235
0,1,1,5,93,2,1,3,93
1,0,0,3,74,2,1,0,4
0,0,0,5,198,8,2,71,577
0,1,1,4,60,0,0,0,166
0,1,1,5,79,0,0,1,19
1,0,0,4,188,0,0,123,1616
0,1,0,2,324,2,1,0,7
1,1,0,2,331,4,1,16,100
1,0,0,3,112,3,1,0,30
1,0,0,2,185,1,1,0,3
1,0,0,4,25,0,0,0,25
1,0,0,3,53,0,0,11,565
1,1,1,2,210,0,0,0,8
1,0,0,2,160,2,1,1,52
1,0,0,5,75,1,1,2,21
0,1,1,5,46,0,0,0,7
1,1,1,4,66,0,0,0,11
1,1,0,5,525,4,1,30,337
1,1,1,3,125,0,0,7,68
1,0,0,5,130,2,1,21,228
0,1,0,2,493,0,0,0,22
1,0,0,5,57,0,0,0,6
1,1,1,5,53,0,0,0,54
1,0,0,4,44,0,0,2,339
1,1,1,5,89,0,0,0,5
1,1,1,2,98,0,0,0,6
1,0,0,5,7,0,0,0,9
1,1,1,3,60,1,1,1,25
1,0,0,4,198,6,2,19,130
0,1,1,2,13,0,0,0,5
1,0,0,3,179,0,0,3,43
1,0,0,5,51,1,1,1,29
1,0,0,4,186,2,1,72,1241
0,1,1,4,73,0,0,8,123
0,1,1,3,97,1,1,0,48
1,0,0,2,171,2,1,0,48
0,1,1,2,91,0,0,36,1003
1,0,0,2,79,0,0,0,19
0,1,1,5,60,2,1,0,7
1,1,1,4,155,2,1,102,2198
1,1,0,5,513,0,0,2,70
1,0,0,5,115,1,1,0,37
1,0,0,1,43,0,0,8,47
1,1,0,5,241,0,0,2,25
0,0,0,5,181,0,0,0,28
0,0,0,4,189,1,1,0,39
1,1,0,4,340,4,1,1,61
1,0,0,2,34,0,0,0,17
1,1,1,5,57,0,0,0,16
0,1,1,2,103,0,0,0,5
1,0,0,1,60,0,0,1,7
1,1,1,2,276,2,1,1,52
1,0,0,5,53,1,1,4,285
1,0,0,4,34,0,0,1,20
1,1,1,2,366,0,0,0,12
0,1,1,5,129,0,0,1,22
1,0,0,5,63,0,0,2,62
1,0,0,5,46,0,0,0,2
1,0,0,3,51,0,0,0,15
1,0,0,4,70,0,0,4,283
1,0,0,4,154,0,0,0,15
1,0,0,5,63,1,1,0,7
1,0,0,5,32,0,0,6,128
0,1,1,5,124,0,0,4,35
1,0,0,5,68,1,1,25,352
1,0,0,2,47,0,0,0,5
0,1,1,4,84,1,1,3,122
1,0,0,1,63,1,1,0,1
0,0,0,3,272,0,0,19,470
0,1,1,4,36,0,0,2,13
1,1,0,4,405,0,0,10,234
1,0,0,4,93,0,0,0,15
1,1,0,5,540,5,1,135,938
1,0,0,5,28,0,0,1,177
1,1,1,5,12,0,0,0,11
1,0,0,3,113,1,1,6,170
1,0,0,5,81,0,0,0,24
1,0,0,3,92,0,0,14,414
0,0,0,4,177,1,1,2,120
1,1,1,5,119,0,0,0,11
1,0,0,5,83,1,1,0,39
1,1,1,5,102,0,0,4,101
1,0,0,3,62,0,0,0,2
0,1,1,5,40,1,1,0,12
0,1,1,5,41,0,0,0,14
1,0,0,5,48,0,0,21,223
1,0,0,4,177,1,1,0,51
1,0,0,5,47,0,0,0,86
1,1,1,2,145,1,1,1,123
1,0,0,5,57,0,0,2,174
1,1,1,5,35,1,1,0,2
0,1,1,4,39,0,0,1,14
1,0,0,3,215,0,0,0,23
0,1,0,5,327,1,1,11,274
1,1,0,4,246,0,0,0,170
0,1,1,5,18,1,1,2,19
1,0,0,5,77,0,0,0,32
1,1,1,5,17,0,0,0,10
1,0,0,5,69,0,0,0,26
1,1,1,4,140,0,0,11,612
1,0,0,5,95,0,0,0,9
1,0,0,4,91,2,1,97,852
1,0,0,4,78,0,0,1,16
1,1,0,5,379,6,2,77,257
1,0,0,2,131,0,0,8,324
0,1,1,3,57,0,0,0,13
1,0,0,5,175,4,1,21,401
0,1,1,5,40,0,0,0,1
0,1,1,3,37,0,0,1,30
1,0,0,5,46,0,0,0,55
1,0,0,5,32,0,0,0,68
0,0,0,5,163,1,1,15,101
0,1,1,5,163,4,1,46,352
0,1,0,4,326,1,1,8,62
0,0,0,5,127,1,1,1,3
1,1,0,3,282,0,0,11,185
1,0,0,1,123,0,0,0,28
1,0,0,3,114,3,1,65,1416
1,0,0,1,273,0,0,2,61
1,0,0,4,70,0,0,0,37
0,0,0,5,104,4,1,165,1809
0,1,1,5,96,0,0,0,7
1,0,0,4,125,0,0,1,13
0,1,1,4,72,4,1,30,696
1,0,0,5,93,1,1,4,75
0,0,0,5,165,0,0,5,62
1,0,0,1,233,3,1,117,497
1,0,0,5,31,0,0,0,1
1,0,0,1,45,0,0,0,6
1,0,0,1,60,0,0,0,51
1,1,1,4,47,1,1,13,232
1,0,0,2,238,0,0,44,839
0,1,1,5,74,1,1,4,122
1,0,0,5,33,0,0,0,3
0,1,1,4,121,0,0,0,31
0,0,0,3,263,5,1,70,259
0,1,1,5,12,0,0,0,63
1,0,0,3,87,3,1,52,512
1,1,1,5,99,3,1,13,225
1,1,1,5,134,0,0,1,43
0,1,1,1,59,0,0,0,5
1,0,0,4,82,0,0,14,455
1,0,0,4,196,0,0,0,16
1,0,0,5,94,1,1,4,178
0,1,1,5,127,1,1,0,26
1,0,0,1,23,1,1,0,74
1,0,0,1,162,1,1,0,8
1,1,1,5,93,0,0,2,39
1,0,0,4,147,1,1,1,16
1,1,0,3,347,0,0,6,125
0,1,1,3,120,0,0,0,10
1,0,0,4,102,1,1,14,248
1,1,1,1,85,2,1,1,5
1,0,0,1,31,0,0,0,1
0,1,1,5,121,1,1,20,361
0,0,0,4,177,1,1,0,9
0,1,1,4,79,0,0,0,2
0,1,1,5,25,0,0,0,15
1,0,0,4,26,0,0,0,5
1,0,0,5,16,0,0,0,20
1,1,1,4,159,0,0,2,103
1,0,0,2,38,0,0,1,38
1,0,0,1,36,0,0,0,14
1,0,0,2,166,2,1,0,21
0,0,0,4,181,1,1,0,13
1,0,0,4,167,0,0,10,112
0,1,1,1,168,2,1,0,37
1,0,0,5,68,0,0,2,90
0,1,1,2,96,0,0,0,3
1,0,0,5,68,0,0,1,76
0,1,1,5,114,1,1,9,272
0,1,1,1,120,0,0,0,20
1,1,1,3,184,0,0,0,22
1,0,0,1,181,0,0,1,77
0,1,1,1,44,1,1,0,4
1,1,0,4,277,1,1,5,37
0,1,1,5,37,0,0,5,133
1,0,0,5,55,0,0,0,42
0,1,1,1,50,1,1,0,41
1,0,0,5,36,1,1,0,7
1,0,0,2,97,0,0,0,13
0,1,1,2,60,0,0,9,144
1,0,0,5,29,1,1,3,50
1,0,0,1,134,1,1,0,2
1,1,1,5,206,2,1,7,197
1,1,1,5,38,0,0,4,620
1,0,0,4,88,0,0,1,18
0,0,0,5,254,0,0,44,655
1,1,1,4,226,0,0,0,34
1,0,0,4,39,0,0,6,85
1,1,1,4,99,1,1,1,19
1,1,0,2,420,1,1,1,20
1,0,0,1,151,1,1,1,38
1,0,0,4,142,1,1,3,79
1,0,0,1,186,0,0,0,6
0,0,0,3,182,4,1,37,659
1,1,0,5,494,0,0,0,5
0,0,0,5,266,2,1,37,334
1,0,0,2,57,0,0,0,2
1,0,0,5,91,4,1,11,125
0,1,0,3,409,3,1,0,15
0,1,1,2,164,0,0,1,3
1,1,1,5,141,0,0,3,96
1,0,0,4,60,0,0,10,103
1,0,0,5,37,0,0,0,11
1,0,0,4,75,0,0,1,35
0,1,1,5,22,0,0,0,15
0,1,1,4,42,0,0,8,188
1,1,1,4,142,0,0,18,289
0,1,1,5,25,0,0,0,3
1,1,0,5,510,1,1,53,415
1,1,0,4,464,1,1,65,1390
1,0,0,1,72,1,1,6,69
0,1,1,5,67,0,0,0,36
1,0,0,2,222,0,0,0,59
1,0,0,3,137,5,1,42,449
1,0,0,5,115,1,1,7,118
0,1,1,4,114,1,1,2,60
1,0,0,5,76,0,0,0,38
1,0,0,4,87,1,1,2,41
1,0,0,3,114,0,0,2,140
1,0,0,5,36,0,0,2,31
1,0,0,3,208,2,1,78,227
1,0,0,5,21,0,0,0,4
1,0,0,1,28,0,0,1,20
1,1,1,5,156,0,0,1,183
0,1,1,3,181,0,0,9,125
1,0,0,5,123,0,0,1,89
1,1,0,5,296,2,1,81,209
0,1,0,4,338,1,1,20,351
1,0,0,4,78,0,0,3,41
1,0,0,5,38,0,0,0,86
1,1,0,5,686,10,2,89,773
0,0,0,5,173,1,1,0,7
1,0,0,3,101,2,1,11,179
1,0,0,5,58,0,0,11,401
0,0,0,4,236,0,0,6,159
1,1,1,3,18,0,0,0,21
1,0,0,5,24,0,0,1,54
1,0,0,5,24,0,0,0,75
1,0,0,4,82,0,0,0,48
1,1,1,5,26,1,1,11,76
1,0,0,5,23,0,0,0,19
1,0,0,4,100,2,1,25,483
0,1,1,3,72,0,0,0,38
0,0,0,4,119,3,1,1,94
1,0,0,4,163,0,0,15,193
1,0,0,5,95,0,0,0,7
0,0,0,4,209,1,1,0,33
0,1,1,5,102,0,0,1,31
1,1,1,4,191,0,0,1,35
0,1,1,5,43,1,1,0,24
1,0,0,2,18,0,0,1,64
1,1,0,4,573,7,2,99,448
1,1,0,5,331,1,1,1,77
1,0,0,5,99,1,1,2,87
1,1,1,3,174,0,0,0,13
0,0,0,3,252,0,0,3,52
1,0,0,3,194,2,1,11,287
0,0,0,5,255,2,1,7,126
1,1,1,5,220,0,0,0,54
1,1,0,4,488,7,2,22,23
1,0,0,5,12,0,0,0,10
1,0,0,5,108,0,0,40,429
1,0,0,1,26,1,1,0,18
1,0,0,2,80,0,0,0,3
0,0,0,5,246,1,1,3,47
1,0,0,5,167,0,0,2,120
1,1,1,2,246,0,0,1,83
1,1,1,3,61,0,0,0,23
1,0,0,5,107,0,0,1,31
1,0,0,4,74,1,1,28,242
0,1,1,4,90,1,1,2,256
1,0,0,4,82,0,0,9,65
1,0,0,5,249,1,1,139,1524
1,1,0,4,280,1,1,26,92
0,1,1,2,25,0,0,0,17
1,0,0,4,281,0,0,1,17
1,0,0,3,57,0,0,10,188
1,0,0,5,61,0,0,0,2
1,0,0,5,86,0,0,0,51
0,1,1,4,42,0,0,2,61
0,1,1,3,145,0,0,0,28
1,0,0,4,60,2,1,0,89
1,0,0,5,205,4,1,22,254
1,0,0,4,243,2,1,17,242
1,0,0,5,50,0,0,3,189
1,0,0,4,48,1,1,6,84
1,0,0,1,64,0,0,2,121
1,0,0,3,18,0,0,0,2
1,0,0,5,174,4,1,12,141
0,1,1,5,25,0,0,0,3
1,0,0,4,20,0,0,1,58
1,0,0,5,26,0,0,1,7
1,1,1,3,184,0,0,5,191
1,0,0,5,76,1,1,0,4
1,0,0,5,15,0,0,6,92
0,0,0,3,224,1,1,23,313
0,1,1,1,143,0,0,0,5
0,1,1,5,126,0,0,0,2
1,1,1,4,222,0,0,0,56
0,0,0,4,249,0,0,4,45
1,0,0,1,29,0,0,0,40
1,0,0,5,211,0,0,30,357
1,1,0,5,402,31,3,306,1002
1,0,0,3,121,0,0,3,74
1,0,0,4,191,3,1,70,732
1,1,1,3,285,2,1,55,712
1,0,0,5,58,0,0,0,4
1,0,0,4,185,0,0,0,29
1,0,0,5,89,0,0,13,87
0,1,1,5,25,0,0,3,108
0,1,1,4,82,2,1,108,1121
0,0,0,3,376,8,2,7,22
0,1,1,5,47,2,1,11,171
0,1,1,5,108,4,1,3,105
1,1,1,5,208,2,1,2,110
1,0,0,4,60,1,1,1,14
0,1,0,5,376,2,1,0,7
1,1,0,3,345,0,0,5,1035
1,0,0,4,105,1,1,20,272
0,0,0,3,210,1,1,26,283
0,0,0,3,125,0,0,6,301
1,0,0,5,34,0,0,5,18
1,0,0,5,36,0,0,0,49
1,0,0,1,52,0,0,0,8
0,1,1,3,92,0,0,1,67
1,0,0,5,110,0,0,22,274
1,0,0,3,102,0,0,12,174
1,0,0,5,65,0,0,0,1
1,1,0,4,383,1,1,1,38
0,1,0,3,403,8,2,29,139
0,1,1,4,38,0,0,0,9
1,0,0,4,76,0,0,0,13
0,0,0,3,138,0,0,1,46
1,0,0,4,39,1,1,2,25
0,1,1,5,41,0,0,0,7
1,0,0,1,120,0,0,0,1
1,1,1,5,180,3,1,13,81
1,0,0,5,50,0,0,4,62
1,1,1,5,151,7,2,16,252
0,1,1,5,108,0,0,3,29
0,1,1,4,70,0,0,0,4
1,1,1,1,126,0,0,1,146
1,1,1,2,104,0,0,5,4
0,1,1,5,78,2,1,6,58
0,1,1,5,84,0,0,0,86
1,0,0,5,12,1,1,0,1
1,0,0,1,193,3,1,0,3
1,0,0,4,156,0,0,0,22
0,1,1,5,54,1,1,6,95
1,0,0,5,185,2,1,7,196
1,0,0,5,83,0,0,4,14
1,0,0,5,25,0,0,0,31
1,0,0,4,262,1,1,3,163
1,1,1,5,133,1,1,137,1044
1,0,0,5,36,0,0,0,2
0,1,1,1,56,0,0,2,16
1,0,0,4,103,1,1,1,7
0,1,1,5,33,0,0,4,83
1,0,0,5,41,2,1,0,5
1,0,0,4,89,1,1,35,216
0,1,1,3,121,1,1,2,91
1,1,1,4,125,0,0,0,16
1,1,1,4,58,0,0,0,25
0,0,0,2,268,1,1,1,102
1,0,0,1,16,0,0,0,7
0,1,1,2,42,1,1,0,41
1,0,0,2,199,0,0,2,145
1,0,0,5,32,1,1,1,18
1,0,0,4,256,16,3,16,156
1,0,0,5,39,0,0,2,53
1,0,0,5,71,1,1,8,41
1,0,0,4,179,0,0,0,68
1,0,0,4,70,0,0,5,195
1,1,0,3,524,8,2,107,571
0,1,1,2,112,0,0,1,10
1,0,0,1,196,0,0,0,17
1,1,0,4,482,3,1,84,769
1,0,0,3,207,0,0,10,110
1,0,0,2,154,0,0,4,277
1,1,1,2,241,1,1,1,87
0,1,1,3,103,0,0,3,56
1,0,0,5,79,0,0,3,87
1,0,0,5,79,0,0,0,61
0,1,1,1,155,2,1,0,1
1,0,0,5,110,0,0,1,57
1,1,0,2,425,6,2,10,192
1,0,0,1,70,0,0,0,10
1,0,0,5,49,1,1,28,373
1,0,0,1,123,0,0,8,228
0,1,1,4,22,0,0,0,50
1,0,0,4,93,3,1,7,165
1,0,0,5,127,1,1,18,160
1,0,0,2,37,0,0,0,4
1,0,0,5,132,0,0,2,29
1,0,0,4,47,0,0,0,12
0,1,1,4,80,0,0,1,165
0,1,1,2,127,1,1,0,126
1,1,1,2,209,3,1,16,220
1,0,0,5,122,0,0,0,10
1,0,0,4,289,0,0,76,851
1,1,1,3,101,0,0,5,107
0,1,0,5,301,1,1,8,242
1,0,0,3,109,0,0,3,81
1,0,0,1,18,0,0,0,21
1,1,1,5,86,0,0,0,128
0,1,1,5,81,0,0,1,38
0,0,0,3,178,3,1,52,1212
1,0,0,3,151,0,0,1,24
1,0,0,3,112,0,0,23,412
1,0,0,5,23,0,0,0,81
1,1,1,5,115,0,0,2,33
0,1,1,4,149,2,1,11,159
0,0,0,5,230,0,0,0,14
1,0,0,4,46,0,0,1,80
0,1,1,1,52,2,1,0,2
1,1,1,4,136,1,1,47,370
0,1,1,3,31,0,0,2,20
0,1,1,5,150,1,1,6,236
1,0,0,4,64,0,0,4,116
0,1,1,4,60,0,0,2,25
1,0,0,5,55,1,1,11,271
1,1,0,5,500,2,1,65,305
1,0,0,5,41,0,0,0,3
1,0,0,5,213,0,0,0,4
1,0,0,4,122,0,0,0,133
1,0,0,5,84,1,1,2,56
1,0,0,5,61,0,0,7,103
1,0,0,5,15,0,0,1,11
0,1,1,3,100,0,0,6,102
1,1,1,5,34,0,0,0,29
1,0,0,5,26,0,0,0,31
1,1,1,5,59,1,1,9,198
1,0,0,1,56,1,1,0,12
1,0,0,4,97,0,0,1,18
1,0,0,5,86,8,2,60,118
0,1,1,2,16,1,1,2,31
1,1,1,1,316,2,1,0,6
1,0,0,5,112,0,0,4,26
1,0,0,3,197,2,1,59,488
1,0,0,4,25,0,0,0,23
1,0,0,3,38,0,0,2,57
1,0,0,4,39,0,0,1,16
0,1,1,5,17,0,0,0,9
1,1,1,5,98,1,1,1,34
1,1,0,4,269,0,0,1,62
1,1,1,5,299,1,1,18,525
0,1,1,1,88,1,1,7,36
1,0,0,5,54,0,0,0,37
1,0,0,4,24,0,0,1,10
1,0,0,4,21,0,0,0,22
0,1,1,5,94,0,0,0,13
0,1,1,5,50,0,0,0,44
1,1,0,4,335,1,1,38,361
1,0,0,5,115,0,0,0,22
1,1,1,4,252,3,1,21,213
1,0,0,3,73,0,0,3,125
1,0,0,3,23,0,0,0,8
1,1,1,1,92,1,1,0,10
0,1,1,2,48,0,0,1,16
0,1,1,4,37,0,0,2,95
1,0,0,5,49,0,0,4,36
1,1,0,5,298,0,0,3,21
1,0,0,4,73,0,0,1,28
0,0,0,3,185,6,2,12,157
1,0,0,1,112,0,0,0,32
0,1,1,2,55,0,0,0,86
1,0,0,4,68,0,0,0,8
0,1,1,1,19,0,0,0,11
1,0,0,5,115,3,1,25,200
1,0,0,3,87,0,0,0,10
1,1,1,5,54,0,0,0,4
1,0,0,3,97,0,0,0,13
1,1,0,4,324,0,0,12,184
1,1,1,5,21,0,0,0,3
1,0,0,4,68,0,0,2,48
0,1,1,5,59,0,0,0,31
1,1,1,5,161,4,1,1,32
1,0,0,4,281,3,1,18,285
1,0,0,5,96,1,1,20,197
1,0,0,5,86,0,0,9,238
1,0,0,5,85,1,1,0,29
1,0,0,5,72,1,1,0,7
1,0,0,3,34,0,0,3,96
